country,year,debt_gdp,d_debt_gdp_3y,int_rev,primary_bal_gdp,r_minus_g_3y,slope,real_ltrate_3y,infl,d_infl_3y,ca_gdp,ca_persist_3y,rer_usd_chg_3y,real_wage_g_3y,credit_gap_5y,credit_gap_7y,credit_gap_10y,int_rev_is_proxy,primary_bal_uses_int_proxy,ca_persist_is_ext_proxy
Switzerland,1896,0.037066055451107104,0.004520201464895089,0.0511513326665775,0.0037106904974208007,0.021502431431424218,-0.012100000000000003,0.043584598836089686,-0.012315482859063365,0.008687984694542128,,,-0.02201075987664436,0.1277843797876117,0.06187120957734682,0.09339296039181488,0.11570889236022652,True,True,False
Switzerland,1897,0.03588940849168755,-0.008423384094060661,0.05311707221084734,0.002465632429002877,-0.0020288351437701066,-0.012199999999999999,0.03721072690441845,0.014962471066731542,0.020921615795013726,,,4.9309478349357505e-06,0.08981454029461133,0.03883632862586295,0.0747492022791939,0.10814781404928175,True,True,False
Switzerland,1898,0.034700512654407885,-0.004893573263213484,0.052780550564526116,0.0013731706830418479,-0.020945460994527397,-0.014099999999999998,0.016123064339844503,0.03808381877279832,0.06446298769372183,,,-0.036198915927298625,0.023230397246532197,0.07051688945962231,0.10447526462291046,0.14529445197740587,True,True,False
Switzerland,1899,0.03591793445356153,-0.0011481209975455764,0.06513831129250398,0.0023631151576216456,-0.0007689818317344263,-0.01075000000000001,0.030324509940984394,-0.030769819662483044,-0.01845433680341968,,,-0.02563251970608227,0.027984050672964722,0.09050914343051764,0.11695343411572601,0.1697210671444066,True,True,False
Switzerland,1900,0.03687269578313036,0.0009832872914428137,0.07335569434580279,0.0010830883776839946,0.01131195400587984,-0.009300000000000003,0.0479718358959854,-0.03662950679827148,-0.051591977865003025,,,0.04358788903686417,0.0705738239507625,0.09350227340463635,0.12574959234809724,0.1770144306871344,True,True,False
Switzerland,1901,0.03555491782507859,0.0008544051706707023,0.06789693192911748,0.0003050974467948232,0.04770964683346277,-0.005875000000000005,0.054266714346805994,0.012674183420336549,-0.025409635352461768,,,0.0662027928742297,0.08746002525721663,0.09680930268083843,0.1356455389607335,0.1869827920434023,True,True,False
Switzerland,1902,0.03522615490611561,-0.0006917795474459185,0.06341062848091492,0.0015365760363025447,0.031366785550050985,-0.005124999999999998,0.04067414756932978,0.0062578806699455924,0.03702770033242864,,,0.04348208965172917,0.05378226075467696,0.04603614442774795,0.08930805025966382,0.13846278490321295,True,True,False
Switzerland,1903,0.046841221856335324,0.009968526073204961,0.08009140043546913,0.002553360639350458,0.034642900412985914,-0.004924999999999999,0.021830878681647015,0.019900299864776816,0.0565298066630483,,,0.005239221944712158,-0.004909096943852442,0.0533970715167249,0.09623064446946983,0.14829661793020432,True,True,False
Switzerland,1904,0.03787981895521752,0.0023249011301389316,0.06966646798937623,0.0013346322878554971,0.0007350908867069447,-0.0036666666666666653,0.026513939821759196,0.0,-0.012674183420336549,,,0.022950310627948944,0.019710858801175846,0.03220468478627825,0.0657436857590592,0.12289670087023485,True,True,False
Switzerland,1905,0.03683570680411825,0.0016095518980026383,0.061135616113214684,0.0045800280106062154,-0.012392180213430935,-0.0050416666666666665,0.017342691619866853,0.03414662527562262,0.02788874460567703,,,-0.025392104318248454,0.007370201774586027,0.03374905967740549,0.05923836161539042,0.11416703508514803,True,True,False
