country,year,rule,cc_sminus0,miss_sminus0,cc_sminus1,miss_sminus1,cc_sminus2,miss_sminus2,cc_sminus3,miss_sminus3,any_lead_cc,all_leads_cc,n_leads_cc
Netherlands,1915,D3,False,"int_rev,primary_bal_gdp,ca_gdp,ca_persist_3y,credit_gap_5y",False,"int_rev,primary_bal_gdp,ca_gdp,ca_persist_3y,credit_gap_5y",True,,True,,True,False,2
Netherlands,1939,D3,True,,True,,True,,True,,True,True,3
Netherlands,1951,D3,True,,True,,False,ca_persist_3y,False,"d_debt_gdp_3y,ca_persist_3y,credit_gap_5y",True,False,1
Netherlands,1957,D3,True,,True,,True,,True,,True,True,3
Portugal,1873,"D2,D3",False,"slope,d_infl_3y,credit_gap_5y",False,"d_debt_gdp_3y,r_minus_g_3y,slope,real_ltrate_3y,d_infl_3y,rer_usd_chg_3y,real_wage_g_3y,credit_gap_5y",False,"d_debt_gdp_3y,r_minus_g_3y,slope,real_ltrate_3y,d_infl_3y,ca_persist_3y,rer_usd_chg_3y,real_wage_g_3y,credit_gap_5y",False,"d_debt_gdp_3y,r_minus_g_3y,slope,real_ltrate_3y,infl,d_infl_3y,ca_persist_3y,rer_usd_chg_3y,real_wage_g_3y,credit_gap_5y",False,False,0
Portugal,1890,D3,True,,True,,True,,True,,True,True,3
Portugal,1916,D2,False,credit_gap_5y,False,credit_gap_5y,False,credit_gap_5y,False,credit_gap_5y,False,False,0
Portugal,1922,D2,False,credit_gap_5y,False,credit_gap_5y,False,credit_gap_5y,False,credit_gap_5y,False,False,0
Portugal,1977,D4,True,,True,,True,,True,,True,True,3
Portugal,1983,D4,True,,True,,True,,True,,True,True,3
Portugal,2011,"D3,D4",True,,True,,True,,True,,True,True,3
Spain,1873,D1,False,"debt_gdp,d_debt_gdp_3y,int_rev,primary_bal_gdp,d_infl_3y,credit_gap_5y",False,"debt_gdp,d_debt_gdp_3y,int_rev,primary_bal_gdp,r_minus_g_3y,real_ltrate_3y,d_infl_3y,rer_usd_chg_3y,real_wage_g_3y,credit_gap_5y",False,"debt_gdp,d_debt_gdp_3y,int_rev,primary_bal_gdp,r_minus_g_3y,real_ltrate_3y,d_infl_3y,ca_persist_3y,rer_usd_chg_3y,real_wage_g_3y,credit_gap_5y",False,"debt_gdp,d_debt_gdp_3y,int_rev,primary_bal_gdp,r_minus_g_3y,real_ltrate_3y,infl,d_infl_3y,ca_persist_3y,rer_usd_chg_3y,real_wage_g_3y,credit_gap_5y",False,False,0
Spain,1882,D1,False,"d_debt_gdp_3y,credit_gap_5y",False,"d_debt_gdp_3y,credit_gap_5y",False,"d_debt_gdp_3y,credit_gap_5y",False,"debt_gdp,d_debt_gdp_3y,int_rev,primary_bal_gdp,credit_gap_5y",False,False,0
Spain,1936,D1,False,"debt_gdp,d_debt_gdp_3y,int_rev,primary_bal_gdp,ca_gdp,ca_persist_3y,real_wage_g_3y,credit_gap_5y",False,"ca_gdp,ca_persist_3y",True,,True,,True,False,2
Spain,1947,"D2,D3",False,credit_gap_5y,False,credit_gap_5y,False,"real_wage_g_3y,credit_gap_5y",False,"real_wage_g_3y,credit_gap_5y",False,False,0
Spain,1978,D4,True,,True,,True,,True,,True,True,3
UK,1917,"D2,D3",True,,True,,True,,True,,True,True,3
UK,1947,D3,True,,True,,True,,True,,True,True,3
UK,1973,D3,True,,True,,True,,True,,True,True,3
USA,1947,D3,True,,True,,True,,True,,True,True,3
