country,onset,rule,lead,lag,row_exists,in_exclusion,cc_full,cc_debt,orig,tile
Spain,1947,"D2,D3",1945,2,True,False,False,True,,
Spain,1947,"D2,D3",1944,3,True,False,False,True,,
UK,1947,D3,1946,1,True,False,True,True,,
UK,1947,D3,1945,2,True,False,True,True,,
UK,1947,D3,1944,3,True,False,True,True,,
USA,1947,D3,1946,1,True,False,True,True,,
USA,1947,D3,1945,2,True,False,True,True,,
USA,1947,D3,1944,3,True,False,True,True,,
Germany,1948,D1,1947,1,True,False,False,False,,
Germany,1948,D1,1946,2,True,False,False,False,,
Germany,1948,D1,1945,3,True,False,False,False,,
Netherlands,1951,D3,1950,1,True,False,True,True,,
Netherlands,1951,D3,1949,2,True,False,False,True,,
Netherlands,1951,D3,1948,3,True,False,False,True,,
Netherlands,1957,D3,1956,1,True,True,True,True,,
Netherlands,1957,D3,1955,2,True,True,True,True,,
Netherlands,1957,D3,1954,3,True,True,True,True,,
UK,1973,D3,1972,1,True,False,True,True,1970|1971-1975,1970|1971-1975
UK,1973,D3,1971,2,True,False,True,True,1970|1971-1975,1970|1971-1975
UK,1973,D3,1970,3,True,False,True,True,,1965|1966-1970
Italy,1974,D4,1973,1,True,False,True,True,1970|1971-1975,1970|1971-1975
Italy,1974,D4,1972,2,True,False,True,True,1970|1971-1975,1970|1971-1975
Italy,1974,D4,1971,3,True,False,True,True,1970|1971-1975,1970|1971-1975
Portugal,1977,D4,1976,1,True,False,True,True,,1975|1976-1980
Portugal,1977,D4,1975,2,True,False,True,True,1970|1971-1975,1970|1971-1975
Portugal,1977,D4,1974,3,True,False,True,True,1970|1971-1975,1970|1971-1975
Spain,1978,D4,1977,1,True,False,True,True,,1975|1976-1980
Spain,1978,D4,1976,2,True,False,True,True,,1975|1976-1980
Spain,1978,D4,1975,3,True,False,True,True,1970|1971-1975,1970|1971-1975
Ireland,1981,D2,1980,1,True,False,True,True,,1975|1976-1980
Ireland,1981,D2,1979,2,True,False,True,True,,1975|1976-1980
Ireland,1981,D2,1978,3,True,False,True,True,,1975|1976-1980
Portugal,1983,D4,1982,1,True,True,True,True,,
Portugal,1983,D4,1981,2,True,True,True,True,,
Portugal,1983,D4,1980,3,True,True,True,True,,
Ireland,2010,D4,2009,1,True,False,True,True,,2005|2006-2010
Ireland,2010,D4,2008,2,True,False,True,True,,2005|2006-2010
Ireland,2010,D4,2007,3,True,False,True,True,,2005|2006-2010
Portugal,2011,"D3,D4",2010,1,True,False,True,True,,2005|2006-2010
Portugal,2011,"D3,D4",2009,2,True,False,True,True,,2005|2006-2010
Portugal,2011,"D3,D4",2008,3,True,False,True,True,,2005|2006-2010
